Country Name,Series,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Arab World,"Gross enrolment ratio, primary, gender parity index (GPI)",0.80142,0.79987,0.81172,0.81757,0.81802,0.82845,0.83416,0.83615,0.84648,0.81952,0.84985,0.85762,0.86566,0.87432,0.88484,0.89124,0.89744,0.90179,0.90586,0.90699,0.90894,0.91499,0.91929,0.9229,0.91804,0.92944,0.93089,0.93668,0.94095,0.94133,0.94452,0.94617,0.94882,..
Arab World,"Out-of-school children of primary school age, both sexes (number)",9307003,9298306,9519516,9297761,9469939,10640581,10705839,10077728,10563245,9866551,9799453,9780804,9209765,8919689,8528926,8212014,7853612,7694678,7746586,7756665,7294004,6940479,6800951,6389977,6612852,6635164,7112736,7478493,7509429,7567118,7438706,7486016,7677399,..
Argentina,Government expenditure on education as % of GDP (%),1.2823,..,1.04612,1.06738,..,..,..,..,..,3.73198,..,4.03987,4.52168,4.58031,4.83374,4.01734,3.53505,3.48652,3.86001,4.12821,4.4626,4.84441,5.53105,5.01971,5.29063,5.34583,5.43661,5.36144,5.77611,5.54549,5.46223,..,..,..
Argentina,"Gross enrolment ratio, primary, female (%)",106.9537,110.34347,..,106.01436,108.16306,..,..,..,..,109.34175,106.78477,110.7133,114.28767,115.16621,115.79878,116.38908,114.07844,115.28051,114.74708,116.85,117.87129,118.34758,117.63241,116.22167,114.91864,113.53876,111.52934,111.34255,111.2357,110.60607,109.62778,..,..,..
Argentina,"Gross enrolment ratio, primary, gender parity index (GPI)",0.99195,1.0446,..,0.9835,0.98496,..,..,..,..,0.98439,0.99446,0.98545,0.9964,0.99104,0.99237,0.99312,0.99286,0.99111,0.99062,0.99409,0.99701,0.99593,0.99545,0.98741,0.98824,0.98823,0.99157,0.99794,0.99881,0.99764,0.99797,..,..,..
Argentina,"Out-of-school children of primary school age, both sexes (number)",207552,..,..,..,176958,..,..,..,..,..,0,11114,6971,18285,15555,14023,14410,27193,18656,11212,5382,7668,8719,25533,24042,24382,17457,4205,2420,19510,18743,..,..,..
Armenia,Government expenditure on education as % of GDP (%),..,..,..,..,..,..,..,..,..,1.84843,..,..,2.23519,2.77273,2.46944,2.13504,2.14504,2.48673,2.71203,2.71577,3.01894,3.17273,3.84079,3.249,3.14385,2.77248,2.65018,2.24724,2.80591,2.75812,2.70759,..,..,..
Armenia,"Gross enrolment ratio, primary, female (%)",..,..,..,..,106.34886,102.15532,105.55861,97.87877,93.49443,94.85116,131.45091,..,141.03066,99.33167,103.27099,95.5247,94.15036,95.19813,96.34499,101.45639,114.60815,115.79814,112.78573,100.71847,99.44019,99.61921,99.10623,97.53677,95.77111,94.96555,94.2442,92.6959,92.10543,..
Armenia,"Gross enrolment ratio, primary, gender parity index (GPI)",..,..,..,..,1.03887,1.02017,1.01905,1.02877,1.02327,1.03398,1.07293,..,1.11516,1.01329,1.02198,1.00306,0.999,1.00564,1.01828,1.02489,1.02208,1.02098,1.0329,1.03138,1.01835,1.0133,1.01253,1.01302,1.01521,1.0089,1.00321,0.99961,1.00534,..
Armenia,"Out-of-school children of primary school age, both sexes (number)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20971,22092,..,14931,9441,3288,..,..,..,6728,5023,4874,8641,10601,11786,12428,11426,14928,..
Aruba,Government expenditure on education as % of GDP (%),..,..,..,..,..,..,..,..,..,..,..,4.76391,4.39554,4.71468,4.73986,4.92365,..,4.40848,4.68132,..,4.81504,4.99923,5.92479,6.92927,6.11913,6.54906,6.50538,5.90521,5.97571,5.52415,..,..,..,..
Aruba,"Gross enrolment ratio, primary, female (%)",..,..,..,..,..,..,..,..,..,..,..,..,111.15558,108.90179,107.72119,108.0091,105.32269,106.41501,107.81114,111.64685,112.61201,110.80958,112.12332,113.03634,103.71852,105.40282,114.72793,115.20468,..,..,..,..,..,..
Aruba,"Gross enrolment ratio, primary, gender parity index (GPI)",..,..,..,..,..,..,..,..,..,..,..,..,0.98157,0.96687,0.9694,0.94776,0.9315,0.92341,0.93803,0.95547,0.95611,0.96079,0.97128,0.98696,0.97171,1.02508,0.9781,0.96864,..,..,..,..,..,..
Aruba,"Out-of-school children of primary school age, both sexes (number)",..,..,..,..,..,..,..,..,..,..,..,..,139,134,28,161,301,200,151,88,73,42,292,79,..,..,..,7,..,..,..,..,..,..
Australia,Government expenditure on education as % of GDP (%),5.06994,4.91831,4.74914,4.67634,4.79479,4.69241,5.51652,5.25474,5.14391,5.24097,..,..,..,4.89147,..,..,..,..,4.9103,4.7502,4.66089,4.63776,5.08582,5.55006,5.07451,4.869,5.22974,5.16477,5.31127,5.27678,5.12425,..,..,..
Australia,"Gross enrolment ratio, primary, female (%)",105.6768,106.44132,106.62736,106.21698,105.87964,105.76632,105.63567,105.61465,101.06561,101.52036,101.34434,101.43297,101.54875,101.87554,101.90325,102.7679,102.85733,103.3166,103.57591,103.97981,105.6681,105.48767,105.42822,105.52375,105.54086,105.7682,105.83486,105.32171,101.61505,100.73303,100.33393,100.1046,..,..
Australia,"Gross enrolment ratio, primary, gender parity index (GPI)",0.99663,0.99913,0.99896,0.99717,0.99602,0.99618,0.99556,0.99604,0.99566,0.99885,1.00308,1.00973,1.01723,1.0223,1.02444,1.02336,1.02265,1.02003,1.01584,1.01273,1.00897,1.00641,1.00233,0.99824,0.99726,0.99603,0.99708,0.9975,1.00029,0.99978,0.9999,0.99891,..,..
Australia,"Out-of-school children of primary school age, both sexes (number)",34723,25155,23833,30144,39520,43555,50321,55241,90586,83683,92003,94207,102095,104354,32273,31396,47806,39973,25452,21617,18579,16931,13008,9666,44871,39575,1212,1742,1861,955,7031,9614,..,..
Austria,Government expenditure on education as % of GDP (%),5.37611,5.19073,5.01817,4.95725,5.10322,5.29698,5.252,..,5.42835,5.2599,..,6.10374,6.11234,5.58881,5.57548,5.52213,5.36183,5.30243,5.24937,5.22652,5.1469,5.26396,5.73025,5.70048,5.59227,5.4804,5.54711,5.44762,5.45658,5.48435,5.35804,..,..,..
Austria,"Gross enrolment ratio, primary, female (%)",100.19358,102.95883,104.99682,105.09811,104.00055,103.60898,103.04599,102.1002,101.89484,102.02621,102.37931,103.1752,103.29928,103.12229,102.40321,100.74664,100.16291,100.80128,100.75367,101.127,101.0241,99.86408,99.62869,99.125,99.25192,100.1678,100.63965,101.29374,101.52334,101.99711,102.96837,103.04343,..,..
Austria,"Gross enrolment ratio, primary, gender parity index (GPI)",0.9858,0.985,0.98972,0.99623,0.99775,0.99437,0.99499,0.99406,0.99108,0.99296,0.99156,0.99147,0.99092,0.98971,0.98974,0.99033,0.99418,1.00155,0.99847,0.99173,0.98766,0.98344,0.98889,0.98708,0.99052,0.99167,0.98905,0.99359,0.99097,0.99492,0.99727,0.99488,..,..
Austria,"Out-of-school children of primary school age, both sexes (number)",..,..,19512,..,..,..,..,..,..,..,..,..,429,1024,4843,12977,14524,12779,10103,9370,8872,9671,8421,7641,9350,5423,3318,2102,1512,663,149,143,..,..
Azerbaijan,Government expenditure on education as % of GDP (%),..,..,..,..,..,6.05797,..,..,3.33737,3.51257,..,3.38002,4.21214,3.85399,3.50342,3.15446,3.28615,3.4477,2.97462,2.55552,2.54928,2.44093,3.22431,2.78062,2.43564,2.06763,2.44213,2.63304,2.95168,2.90341,2.47382,2.45543,..,..
Azerbaijan,"Gross enrolment ratio, primary, female (%)",..,..,..,..,113.25757,112.29992,110.08417,110.41137,119.97006,97.36618,93.51743,91.99482,95.51113,96.29398,98.03727,97.10727,93.37204,95.41022,92.78384,91.04317,94.61507,93.80725,94.52098,93.23661,94.57047,96.88853,98.8165,105.49295,105.63598,105.8647,104.19372,100.01462,99.53544,..
Azerbaijan,"Gross enrolment ratio, primary, gender parity index (GPI)",..,..,..,..,0.98801,0.99582,0.9797,0.95586,1.12443,1.08429,0.97886,0.98155,1.00063,0.98161,0.98392,0.97565,0.94349,0.96352,0.94511,0.93628,0.99688,0.99469,0.98923,0.98953,0.98052,0.97977,0.96903,0.99002,0.98318,0.99011,1.01633,1.00546,1.03081,..
Azerbaijan,"Out-of-school children of primary school age, both sexes (number)",..,..,..,..,17399,18109,42450,85323,81334,47885,74182,85221,34837,61173,79138,79899,88738,78125,77428,73286,71283,70361,61748,64067,49999,38511,8544,3638,5980,4338,12166,24803,55687,..
"Bahamas, The",Government expenditure on education as % of GDP (%),..,..,..,..,..,..,..,..,..,..,..,..,..,2.23284,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The","Gross enrolment ratio, primary, female (%)",..,..,..,..,..,94.79436,96.31874,..,96.15339,103.23778,99.16841,99.18507,95.04099,..,..,92.91248,..,97.09423,98.84745,94.53941,96.72262,95.50591,91.30709,88.00042,93.52548,88.17143,81.2956,82.33325,85.06866,81.7346,..,81.15878,..,..
"Bahamas, The","Gross enrolment ratio, primary, gender parity index (GPI)",..,..,..,..,..,1.00697,1.01957,..,1.00382,1.03943,1.00533,0.99767,0.96742,..,..,0.9939,..,0.97672,0.96967,0.96893,0.96666,0.96734,0.99346,0.97931,0.97879,0.97294,0.97247,0.97952,0.97338,1.00666,..,0.99507,..,..
"Bahamas, The","Out-of-school children of primary school age, both sexes (number)",..,..,..,..,..,4053,3959,2606,..,..,..,..,3121,..,..,..,..,3889,3445,5043,4796,5275,6819,7390,4371,6347,8729,8422,6982,8399,..,8533,..,..
Bahrain,Government expenditure on education as % of GDP (%),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.87441,2.575,2.49678,..,..,..,2.64531,2.47689,2.46746,2.66808,..,2.32781,..,..,..
Bahrain,"Gross enrolment ratio, primary, female (%)",113.18496,113.18631,113.49299,112.17345,112.1722,108.58957,108.77884,108.14222,108.27504,107.40954,106.77405,107.16298,107.46704,105.80178,102.65964,101.9924,101.41034,100.20301,97.50829,101.00628,..,..,..,..,95.7298,95.77789,98.50305,100.35145,101.70948,102.16062,100.99798,98.75316,97.73763,..
Bahrain,"Gross enrolment ratio, primary, gender parity index (GPI)",1.02292,1.01843,1.01314,1.0329,1.01271,1.01234,1.01986,1.02148,1.01042,0.99511,0.98263,0.98847,0.99227,1.01558,1.0385,1.02419,1.03139,1.03624,1.03589,1.05136,..,..,..,..,1.01779,1.00892,1.01669,1.01229,1.00991,1.02083,0.9958,0.98787,0.99417,..
Bahrain,"Out-of-school children of primary school age, both sexes (number)",2344,933,526,..,352,1848,1265,1362,595,96,270,40,184,1391,3923,4217,5426,5986,8175,7018,..,..,..,..,7477,6848,5702,3777,1408,1350,585,1188,2770,..
Bangladesh,Government expenditure on education as % of GDP (%),1.51364,..,..,1.51912,1.42566,1.63177,1.69262,..,..,..,1.95247,..,2.13282,2.12508,2.17193,2.01715,2.06939,1.94014,..,2.13129,2.20222,2.05457,1.93942,..,2.1327,2.1755,1.96616,..,..,1.53554,..,..,1.32632,..
Bangladesh,"Gross enrolment ratio, primary, female (%)",55.75403,71.63406,71.91479,76.59801,..,..,..,..,..,..,..,..,..,..,..,..,..,..,103.95454,105.25839,105.24104,102.59263,105.38209,109.25345,..,..,..,..,..,..,119.05796,120.75175,..,..
Bangladesh,"Gross enrolment ratio, primary, gender parity index (GPI)",0.69185,0.80566,0.81181,0.84442,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0455,1.0559,1.07234,1.0619,1.04786,1.06251,..,..,..,..,..,..,1.07176,1.07471,..,..
Bangladesh,"Out-of-school children of primary school age, both sexes (number)",5219535,3864086,3942832,3573153,..,..,..,..,..,..,..,..,..,..,..,..,..,..,439726,521821,..,687353,660951,803773,..,..,..,..,..,..,..,..,..,..
Barbados,Government expenditure on education as % of GDP (%),..,..,..,..,6.6387,..,..,..,..,..,..,..,4.34124,4.71586,6.05537,5.88062,6.2457,6.02428,5.66965,..,5.22039,4.9226,5.11618,6.0544,..,5.26274,5.14899,6.1435,..,4.95139,4.36638,..,..,..
Barbados,"Gross enrolment ratio, primary, female (%)",..,..,119.94578,114.03409,..,106.36716,..,..,..,..,..,..,101.35361,99.68349,98.68148,96.31148,95.64628,93.99914,95.94287,97.2526,99.98203,101.23825,100.80485,100.39665,98.32091,..,..,95.40845,95.57431,97.16936,96.00156,97.46608,98.15725,..
Barbados,"Gross enrolment ratio, primary, gender parity index (GPI)",..,..,1.00813,0.99258,..,1.0015,..,..,..,..,..,..,0.98344,0.98113,0.98826,0.99076,0.97968,0.98028,0.99619,0.98029,1.00663,1.00134,1.00674,1.01582,1.00073,..,..,1.00442,0.99302,0.99771,0.96503,0.96328,0.95805,..
Barbados,"Out-of-school children of primary school age, both sexes (number)",..,..,76,601,..,2578,..,..,..,..,..,..,130,557,667,1462,1488,1676,1824,1101,575,282,625,500,981,..,..,1449,905,418,719,328,212,..
Belarus,Government expenditure on education as % of GDP (%),..,..,..,..,..,..,..,..,..,..,..,..,6.00001,6.19662,..,..,..,5.71226,5.87103,6.07696,5.1521,..,4.36894,5.22004,4.68479,4.95964,5.00942,4.81831,4.78752,4.94655,4.79499,..,..,..
Belarus,"Gross enrolment ratio, primary, female (%)",..,..,..,..,..,..,97.09889,96.6514,96.32274,96.88535,97.70621,100.07575,110.5989,113.03545,114.3054,111.65204,101.72812,98.31362,96.73935,98.2897,100.99321,104.57726,105.57436,104.25981,102.06472,99.84607,98.30365,98.46263,99.22947,101.22424,101.67542,100.38261,..,..
Belarus,"Gross enrolment ratio, primary, gender parity index (GPI)",..,..,..,..,..,..,0.99121,0.98531,0.96228,0.96026,0.95657,0.95978,0.98615,0.9884,0.98832,0.98592,0.9877,0.96809,0.9671,0.97912,0.98488,0.99501,0.99329,0.99795,0.99883,1.00062,1.00191,1.00314,1.00156,1.00284,0.99448,0.99773,..,..
Belarus,"Out-of-school children of primary school age, both sexes (number)",..,..,..,..,..,..,..,..,76656,..,..,..,..,..,0,3029,2270,7454,7152,4997,3840,..,..,2298,2463,2022,6252,7716,5885,2107,3556,5544,..,..
Belgium,Government expenditure on education as % of GDP (%),4.57713,4.30072,..,..,..,..,5.37231,5.41104,2.98866,3.04948,..,..,..,..,..,..,..,..,5.79586,..,..,6.33294,6.4581,6.44259,6.43199,..,6.63053,6.59047,6.45157,6.45954,6.41228,..,..,..
Belgium,"Gross enrolment ratio, primary, female (%)",100.73713,102.07917,102.48807,101.99549,101.49108,99.94535,102.30022,101.54458,101.47028,101.72046,..,..,103.40448,104.53788,103.74379,102.80492,101.90845,100.6175,100.23297,100.43634,101.37481,102.03599,101.95695,101.80219,101.84109,102.03899,103.89094,103.63292,103.06613,103.25745,103.9583,103.60319,..,..
Belgium,"Gross enrolment ratio, primary, gender parity index (GPI)",1.01541,1.01729,1.01795,1.0182,1.02364,1.02017,0.99701,0.99467,0.9938,0.99439,..,..,0.99215,0.99449,0.99377,0.99316,0.99139,0.99646,0.99554,0.99422,0.99693,0.99767,0.99673,0.99766,0.99797,0.99586,1.0013,0.99971,0.9983,0.99886,1.00099,1.00478,..,..
Belgium,"Out-of-school children of primary school age, both sexes (number)",31412,22395,..,..,24862,35285,16834,21406,21204,17914,..,..,426,0,167,1945,8883,20386,22833,20022,13081,8603,9716,11467,10445,8491,8887,9806,7403,5451,2164,4131,..,..
Belize,Government expenditure on education as % of GDP (%),..,..,..,..,..,..,..,..,..,..,..,..,5.44344,5.02843,5.79708,..,5.24905,5.33631,..,..,..,5.77263,6.17812,6.71981,..,..,6.42536,6.61473,6.88889,7.28477,7.50989,7.56149,..,..
Belize,"Gross enrolment ratio, primary, female (%)",110.9458,..,..,..,112.09187,111.11313,112.1507,114.88987,117.03994,120.20273,119.5474,..,116.65759,112.99211,110.04314,105.23287,109.60925,111.05422,110.76292,111.69231,111.91712,110.09626,110.86599,110.31811,108.94403,111.82892,109.41333,108.85525,110.18898,111.62242,110.36801,108.73155,108.59159,..
Belize,"Gross enrolment ratio, primary, gender parity index (GPI)",0.94958,..,..,..,0.95533,0.95408,0.9511,0.95157,0.95729,0.95417,0.95649,..,0.96072,0.95134,0.95923,0.96313,0.9729,0.96894,0.95709,0.96587,0.9792,0.96127,0.96268,0.96103,0.95712,0.96648,0.956,0.95336,0.95398,0.95204,0.95157,0.9492,0.96679,..
Belize,"Out-of-school children of primary school age, both sexes (number)",..,..,..,..,..,..,..,..,..,..,..,..,227,1315,2542,..,2542,1832,2155,1858,2119,1643,1287,815,1048,115,436,293,190,240,148,302,221,..
Benin,Government expenditure on education as % of GDP (%),..,..,..,..,..,..,..,..,..,..,..,2.74789,1.92194,2.11366,2.3651,2.15949,2.28316,2.5669,2.65668,2.5634,2.36331,2.77728,3.08927,3.67997,..,3.56202,3.32751,3.16179,3.17298,2.8991,3.53559,2.93397,..,..
Benin,"Gross enrolment ratio, primary, female (%)",42.25982,41.68263,41.46286,34.9034,38.92698,41.48562,45.57431,47.40607,50.65423,53.4313,57.40762,61.55357,63.14743,67.00986,74.412,80.25989,84.52934,89.86066,88.95443,91.14298,..,104.45796,110.50946,113.18227,115.83195,120.94827,122.963,124.42811,127.615,126.53536,122.3356,117.95891,112.39728,..
Benin,"Gross enrolment ratio, primary, gender parity index (GPI)",0.50896,0.51173,0.51443,0.5173,0.50343,0.51141,0.52291,0.55059,0.56582,0.58364,0.60421,0.63479,0.65987,0.68566,0.69733,0.71845,0.7369,0.76641,0.79121,0.8197,..,0.8584,0.87602,0.89164,0.8949,0.90724,0.91521,0.92427,0.93024,0.93627,0.93503,0.93733,0.92968,..
Benin,"Out-of-school children of primary school age, both sexes (number)",..,393436,403289,493668,..,442263,422018,425142,416016,406352,385559,..,..,..,..,..,190242,156091,212337,176619,..,139539,83737,75552,77060,67812,..,59910,..,..,52739,50858,120970,..
Bermuda,Government expenditure on education as % of GDP (%),..,..,..,3.1362,3.15065,3.47605,..,..,..,..,..,2.15227,..,..,..,..,1.66627,1.77588,1.98877,..,..,..,2.61519,2.64421,..,..,..,1.78285,1.6986,..,1.50039,..,..,..
Bermuda,"Gross enrolment ratio, primary, female (%)",..,..,..,..,..,..,..,..,100.54701,..,113.09431,..,..,..,97.85374,99.03692,99.18864,100.28771,100.04168,101.18694,..,..,..,..,97.55535,95.58685,95.41109,96.54165,100.19871,..,..,..,..,..
Bermuda,"Gross enrolment ratio, primary, gender parity index (GPI)",..,..,..,..,..,..,..,..,0.99482,..,0.9974,..,..,..,1.0142,1.04147,1.03671,1.06508,1.05171,1.079,..,..,..,..,0.98386,0.96771,0.97206,0.96997,0.98176,..,..,..,..,..
Bermuda,"Out-of-school children of primary school age, both sexes (number)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,124,..,..,..,..,..,164,315,..,..,..,..,..,..,..,..
Bhutan,Government expenditure on education as % of GDP (%),..,..,..,..,..,..,..,..,..,..,..,..,..,5.51379,5.91573,..,..,6.60907,7.28715,..,..,4.91159,4.74174,4.12473,4.76523,..,5.72275,6.0449,7.5901,6.99333,7.22574,6.85084,..,..
Bhutan,"Gross enrolment ratio, primary, female (%)",..,42.95695,..,..,38.38523,43.23899,48.04215,51.10796,54.90876,58.96104,62.63228,65.00314,67.50096,71.12827,74.34742,77.46347,81.74066,86.67045,89.8837,93.99925,97.57617,101.51905,106.11353,109.44818,111.66232,112.7385,107.47085,106.22304,104.80431,102.90592,101.26469,100.22383,..,106.63319
Bhutan,"Gross enrolment ratio, primary, gender parity index (GPI)",..,0.60447,..,..,0.59847,0.74709,0.75924,0.77509,0.78395,0.80033,0.82018,0.83699,0.85595,0.87698,0.8977,0.91541,0.94491,0.97217,0.97482,0.98848,0.9932,1.01129,1.01815,1.02275,1.01408,1.01488,1.00978,1.01405,1.01085,1.00472,0.99865,1.00166,..,1.01541
